artist_id,full_name,first_name,middle_names,last_name,nationality,style,birth,death
500,Pierre-Auguste Renoir,Pierre,Auguste,Renoir,French,Impressionist,1841,1919
501,Alexandre Cabanel,Alexandre,,Cabanel,French,Classicist,1823,1889
502,James Ensor,James,,Ensor,Belgian,Expressionist,1860,1949
503,Maximilien Luce,Maximilien,,Luce,French,Pointillist,1858,1941
504,August Macke,August,,Macke,German,Expressionist,1887,1914
505,Thomas Gainsborough,Thomas,,Gainsborough,English,Rococo,1727,1788
506,Julien Dupré,Julien,,Dupre,French,Naturalist,1851,1910
507,George Catlin,George,,Catlin,American,American West,1796,1872
508,Federico Zandomeneghi,Federico,,Zandomeneghi,Italian,Expressionist,1841,1917
509,Cornelis Springer,Cornelis,,Springer,Dutch,Landscape Art,1817,1891
